Tanggal_Pemakaian,Kode_Obat,Nama_Obat,Jumlah_Unit,Harga_Pokok_Pemakaian,Nilai_Pemakaian
2023-02-15,OBT001,Paracetamol 500mg,200,500,100000
2023-03-10,OBT002,Amoxicillin 500mg,100,2000,200000
2023-04-20,OBT003,Omeprazole 20mg,50,1500,75000
2023-06-15,OBT004,Metformin 500mg,80,1000,80000
2023-07-05,OBT005,Cetirizine 10mg,150,800,120000
2023-08-10,OBT006,Paracetamol 500mg,300,550,165000
2023-09-20,OBT007,Amoxicillin 500mg,70,2100,147000
2023-10-15,OBT008,Omeprazole 20mg,40,1600,64000
2023-11-10,OBT009,Metformin 500mg,100,1100,110000
2023-12-05,OBT010,Cetirizine 10mg,120,850,102000
