Kode_Obat,Nama_Obat,Tanggal_Pembelian,Jumlah_Unit,Harga_Pokok_Pembelian,Harga_Jual,Nilai_Persediaan
OBT001,Paracetamol 500mg,2023-01-10,1000,500,750,500000
OBT002,Amoxicillin 500mg,2023-01-15,500,2000,3000,1000000
OBT003,Omeprazole 20mg,2023-02-01,300,1500,2250,450000
OBT004,Metformin 500mg,2023-03-05,400,1000,1500,400000
OBT005,Cetirizine 10mg,2023-04-12,600,800,1200,480000
OBT006,Paracetamol 500mg,2023-06-20,800,550,800,440000
OBT007,Amoxicillin 500mg,2023-07-10,300,2100,3150,630000
OBT008,Omeprazole 20mg,2023-08-15,200,1600,2400,320000
OBT009,Metformin 500mg,2023-09-25,500,1100,1650,550000
OBT010,Cetirizine 10mg,2023-11-05,700,850,1275,595000
